Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
Commercial Set;Centro;0;0;0;87;3000;764;134
Kitchenette;Copacabana;1;0;0;30;1300;370;30
Commercial Set;Barra da Tijuca;0;9;0;190;10000;5503;1250
Commercial Set;Leblon;0;0;0;6;900;;
Apartment;Barra da Tijuca;3;1;1;80;3500;1410;270
Commercial Set;Centro;0;0;0;375;18750;6340;2349
Apartment;Botafogo;3;1;1;102;5100;1300;
Apartment;Gávea;3;0;1;120;2700;880;238
Apartment;Humaitá;2;2;1;112;4500;1300;
Commercial Set;Centro;0;0;0;34;1000;729;
Commercial Set;Centro;0;0;0;48;4500;885;380
Apartment;Vila da Penha;2;0;0;60;900;160;25
Commercial Set;Barra da Tijuca;0;2;0;80;5000;1100;3000
Apartment;Lagoa;1;1;0;75;2800;800;210
Apartment;Ipanema;3;1;1;125;7000;2100;463
Commercial Set;Leblon;0;0;0;120;20000;2400;616
Whole Building;São Cristóvão;0;0;0;1408;24000;;
Apartment;Engenho Novo;2;0;0;53;1400;460;12
Apartment;Recreio dos Bandeirantes;3;3;1;132;2800;879;
Loft;Barra da Tijuca;1;1;1;78;2700;1370;188
Apartment;Barra da Tijuca;2;2;1;86;3500;1307;
Apartment;Recreio dos Bandeirantes;2;1;1;80;1700;690;150
Shed/Warehouse;Campo Grande;0;3;0;300;6000;;
Apartment;Recreio dos Bandeirantes;4;2;2;200;3600;1177;320
Commercial Set;Recreio dos Bandeirantes;0;1;0;23;900;500;
Shed/Warehouse;Campo Grande;0;0;0;1000;8000;;
Apartment;Barra da Tijuca;2;1;1;77;2500;830;156
Apartment;Engenho Novo;1;1;0;63;700;625;36
Commercial Set;Centro;0;0;0;22;800;264;83
House;Grajaú;5;4;2;450;7000;;500
Apartment;Barra da Tijuca;4;2;2;149;4500;2130;
Apartment;Recreio dos Bandeirantes;3;2;2;106;2500;780;248
Commercial Set;Botafogo;0;10;0;534;45000;14850;
Apartment;Anil;2;1;0;48;1100;400;
Apartment;Ipanema;4;1;2;250;12000;2300;1050
Apartment;Gávea;2;1;1;68;2700;850;186
Apartment;Barra da Tijuca;2;1;1;75;1400;1280;
Store/Hall;Vila Valqueire;0;0;0;30;1100;;
Apartment;Ipanema;2;1;1;97;7000;4000;4725
Condominuim House;Vargem Grande;2;2;1;90;1700;618;338
Commercial Set;Barra da Tijuca;0;1;0;72;2200;835;595
Apartment;Cachambi;3;0;0;70;900;200;30
Kitchenette;Leblon;1;0;0;30;1700;560;62
Apartment;Copacabana;4;2;1;279;3150;2025;370
House;Tanque;2;1;0;59;1200;170;
Garage;Centro;0;1;0;0;250;;85
Commercial Set;Barra da Tijuca;0;1;0;50;1600;870;406
Apartment;Laranjeiras;5;3;2;713;30000;3800;
Commercial Set;Botafogo;0;28;0;1510;211400;50902;8138
Apartment;Cachambi;2;1;0;70;950;530;30
House;Campo Grande;3;0;0;200;2100;;
Commercial Set;Centro;0;0;0;254;10000;5600;
Commercial Set;Centro;0;0;0;24;600;386;119
Apartment;Recreio dos Bandeirantes;4;2;1;400;3500;800;500
Commercial Set;Centro;0;0;0;250;8000;4790;1160
Commercial Set;Del Castilho;0;1;0;29;1200;760;
Apartment;Recreio dos Bandeirantes;2;1;1;89;1800;884;170
Apartment;Maracanã;1;1;1;120;1000;985;150
Apartment;Recreio dos Bandeirantes;4;3;2;181;3500;1080;423
Commercial Set;Barra da Tijuca;0;1;0;22;750;399;52
Apartment;Tijuca;2;1;1;70;1500;890;68
Commercial Set;Santo Cristo;0;0;0;175;5250;1750;
Condominuim House;Barra da Tijuca;5;6;5;640;13800;980;1800
Apartment;Vaz Lobo;2;0;0;70;1000;32;
Commercial Set;Tijuca;0;0;0;150;7200;1700;481
Commercial Set;Centro;0;0;0;219;23000;5938;1303
Commercial Set;Centro;0;0;0;322;8500;4315;81
Commercial Set;São Cristóvão;1;1;0;25;800;427;471
Apartment;Madureira;2;0;0;40;600;415;
Apartment;Recreio dos Bandeirantes;2;0;0;75;1700;659;
Apartment;Copacabana;2;1;1;81;2900;893;190
Commercial Set;Barra da Tijuca;0;4;0;350;16500;6030;3980
House;Bonsucesso;2;0;0;51;1000;;
Condominuim House;Barra da Tijuca;5;3;5;1000;20000;1800;1800
Apartment;Campo Grande;2;0;1;58;1000;;
Flat;Humaitá;1;1;0;55;2000;1232;176
Commercial Set;Centro;0;0;0;360;9000;2968;1208
Apartment;Praça Seca;3;0;0;90;900;330;15
Apartment;Vila Isabel;3;3;1;124;1700;1400;
Apartment;Recreio dos Bandeirantes;5;3;4;430;6000;899;750
Store/Hall;Barra da Tijuca;0;0;0;210;55000;;3000
Apartment;Ipanema;2;0;1;75;5200;476;120
Commercial Set;Recreio dos Bandeirantes;0;1;0;34;1600;732;141
Apartment;São Conrado;5;2;3;400;13000;4165;689
Store/Hall;Recreio dos Bandeirantes;0;1;0;54;1500;364;173
Apartment;Freguesia (Jacarepaguá);3;2;1;126;1500;1000;150
Apartment;Laranjeiras;2;1;1;70;2300;620;190
Apartment;Recreio dos Bandeirantes;3;2;1;94;1900;1300;198
Apartment;Barra da Tijuca;4;3;4;192;5000;2200;562
Commercial Set;Centro;0;18;0;1141;79855;22302;2977
Apartment;Copacabana;1;0;0;43;1600;452;242
Apartment;Barra da Tijuca;2;1;1;70;2200;780;
Apartment;São Francisco Xavier;3;1;1;73;1200;520;
Apartment;Copacabana;3;0;0;120;3000;1420;
Commercial Set;Tijuca;0;0;0;29;800;1100;
Condominuim House;Vargem Grande;5;4;5;300;5000;1500;250
Commercial Set;Botafogo;0;11;0;705;68000;26715;4579
Apartment;Pechincha;2;1;0;64;800;248;14
Apartment;Copacabana;1;0;0;45;2800;450;30
Commercial Set;Campo Grande;0;1;0;21;500;570;
Apartment;Laranjeiras;2;0;0;110;2500;968;167
Shed/Warehouse;São Cristóvão;0;20;0;1100;16000;;2435
Apartment;Ipanema;4;3;3;433;37000;9800;
Apartment;Flamengo;2;0;0;85;2700;800;1150
Apartment;Leme;3;1;1;175;8000;1380;
House;Engenho Novo;2;0;0;70;1100;;
Commercial Set;Barra da Tijuca;0;1;0;75;2500;1250;681
Apartment;Jacarepaguá;2;1;0;68;1100;540;
Apartment;Humaitá;2;1;0;64;2500;520;
Commercial Set;Centro;0;0;0;90;2800;1640;270
Apartment;Copacabana;1;0;1;37;2500;447;20
Apartment;Copacabana;4;2;2;240;10000;2000;700
Condominuim House;Barra da Tijuca;4;3;2;188;6000;1022;
Apartment;Barra da Tijuca;3;2;2;137;12500;1850;271
Apartment;Barra da Tijuca;14;2;2;212;5000;1200;650
Apartment;Irajá;2;1;0;65;1100;255;
Apartment;Barra da Tijuca;2;2;1;105;3000;1500;
Commercial Set;Centro;0;0;0;240;21000;3500;
Store/Hall;Andaraí;0;0;0;330;6000;;17285
